,name,times,country,raiting,link_name,text_all
179,Jerry,14 июл. 2020 г.,,1 звезда: Плохо,The food and customer service is very…poor customer service and poor training,The food and customer service is very very very bad no one speaks English just Spanish all ways get my order wrong the manager and store manager is always hanging up on me.The store location is on thompson Bridge road in ga.never never will i ear there again.
180,Ann,14 июл. 2020 г.,,5 звезд: Замечательно,Amazing,Amazing! I want to eat here every day!
181,Marc Hocking,Обновлено 13 июл. 2020 г.,,1 звезда: Плохо,McDonalds Polegate keep getting it wrong,"McDonalds Polegate, East Sussex.

I have a large family. Sometimes we go to Maccies because it is easy and the kids enjoy it.

If we go into the ""restaurant"" there are rarely any issues.

Every single time we use the ""drive-thru"" there is an issue. Today, again, they screwed the order up. I glanced at it while there because they want you to move on quickly once they've thrown your food at you, and when I got home they had got it wrong AGAIN.

It always appears that if one deviates even slightly from the menu, it cocks everything up.

For example, todays order was:

- 2 x sausage and egg muffins
- 1 x double bacon and egg muffin with brown sauce as an extra
- 1 x sausage pancakes
- 4 x orange juice

What I got was:

- 2 x double sausage and egg muffins
- 1 x bacon and egg muffin with brown sauce
- 1 x bacon flat bread

How can you get it so wrong all the time???"
182,Oliver,12 июл. 2020 г.,,5 звезд: Замечательно,It’s good but we need cookies,
183,Manuel Mesa (Deion),11 июл. 2020 г.,,1 звезда: Плохо,Servicio vergonzoso de McDonalds (uno más),"Acabo de pedir un Glovo a McDonald en Barcelona y es una experiencia que puedo definir como miserable. Hamburguesas recién sacadas de una lavadora, totalmente desmontadas, patatas heladas, bebidas que solo se pueden definir como agua sucia y los helados... madre de Diós, metiendo la cuchara hasta el fondo no llegaba ni a la mitad... Primero te cambian el envase por uno más pequeño y después te lo llenan a la mitad... la calidad nunca ha sido la mejor pero esto ya es insultante. Y lo peor es que para globo todo estaba correctísimo... Si me dan esto en el mostrador se lo quedan para ellos."
184,alexander,9 июл. 2020 г.,,1 звезда: Плохо,Forfærdelig mad,
185,Adrián Saz Lorenzana,8 июл. 2020 г.,,1 звезда: Плохо,He pedido unas patatas deluxe y al…,"He pedido unas patatas deluxe y al fondo del envase me he encontrado un gusanillo frito que puto asco, a parte del servicio pésimo ya que tardan mucho en servir. También la limpieza de las mesas deja mucho que desear no se lo recomiendo a nadie"
186,Taylor Smith,7 июл. 2020 г.,,5 звезд: Замечательно,Yummy Food,"Yummy Food, thanks!"
187,Lucas Rech,6 июл. 2020 г.,,1 звезда: Плохо,McDonald's bando de explorador paga…,McDonald's bando de explorador paga miséria p funcionário e não tem nem curso preparatório aí chega situação atrasa pedido cliente muda endereço diz q foi cancelado p motoboy trato cara q nem lixo
188,Enrique Morano,Обновлено 5 июл. 2020 г.,,1 звезда: Плохо,Poco profesionales,"Mal servicio,poco profesional.No indican a personas que no se desenvuelven con las nuevas tecnologias,a todo esto risas de los empleados.No volveré a mc donald nunca"
189,Kishan Patel,5 июл. 2020 г.,,1 звезда: Плохо,S H I T and bad service,
190,Rymlah Mir,4 июл. 2020 г.,,5 звезд: Замечательно,The food was extremely amazing,The food was extremely amazing. It was clean
191,Lovelle Shayne Diaz,30 июн. 2020 г.,,5 звезд: Замечательно,I gave 5 stars because the…,I gave 5 stars because the accommodation of the staffs and manager are great as well as the food they served. burgers great and also some of their foods👌🏻
192,Ant Mu,30 июн. 2020 г.,,1 звезда: Плохо,awful,"awful. got food poisoning, notified customer care, got 0 response whatsoever. very disappointed, won't go there again"
193,Marta Alonso,28 июн. 2020 г.,,1 звезда: Плохо,Las hamburguesas del menú infantil es…,"Las hamburguesas del menú infantil es lo más similar que he probado a la suela de un zapato, si tú hobbie es comerlas, bienvenido seas, sino, mejor pide otra cosa."
194,dtb345,28 июн. 2020 г.,,3 звезды: Средне,It is a good place for budget eating.,
195,Gil Smith,28 июн. 2020 г.,,5 звезд: Замечательно,Good food better than befoee,
196,los5 sentidos,27 июн. 2020 г.,,1 звезда: Плохо,Siempre igual faltan las 3 salsas de…,Siempre igual faltan las 3 salsas de las patatas de 3 menús increíble esas patatas sin esa salsa no hay dios que se las coma además las hemos pagado muy mal que encima hagamos el pedido por globo y no volváis a traernos las salsas cua do es error vuestro de no tener gente competente trabajando en especial Macdonald Benidorm calle Alfonso puchades dejáis mucho que desear no volvemos a pedir mas
197,Filip Zolberg,26 июн. 2020 г.,,5 звезд: Замечательно,I love this place and in spite of the…,"I love this place and in spite of the fact that now there are many other variants of similar establishments, it seems to me that mcdonalds still remains incredibly popular and there are always a lot of people here, happy people."
198,Pier Fietch,26 июн. 2020 г.,,5 звезд: Замечательно,it's always 100% delicious.,"Yeah, maybe it's not too useful, etc., but what could be better than a yummy french fry and a juicy hamburger? So I think sometimes you can afford it because it's always in a good mood and it's always 100% delicious."
199,Anders,24 июн. 2020 г.,,1 звезда: Плохо,This was my last trip to this network…,"This was my last trip to this network of ""restaurants"", I have long waved my hand at the fact that the employees are not smiling, in general, all gloomy, even managers are not smiling. But when to you in the place of what to stretch the order in neatly wrapped ..."
200,Fantasma Fantasma,23 июн. 2020 г.,,2 звезды: Ниже среднего,Indignante la forma de actuar vean lo último,"He ido al mcdonald con unos amigos y ha algunos le han dado toallitas higiénicas y daba la casualidad que todos los que tenían toallitas habían pagado 9,10€ y los demás menos pero yo me he gastado 8,90€ y solo me han dado dos sobres de ketchup pero esto no es todo me he pedido una hamburguesa kids y lo que había era un pan con nuggets y ketchup pero sigue sin ser todo me he quedado un poco en la terraza del mcdonald con mis amigos y como estábamos hablando nos han dicho de mala manera que nos vayamos o llama a la policía nos podrían haber dicho porfavor si no estáis consumiendo nada iros lo entiendo pero no eso.
Las patatas estaban muy malas g se hacían muy pesadas espero que lo mejores o la gente se vea obligada a dejar de ir."
201,Marton,22 июн. 2020 г.,,3 звезды: Средне,Közepes szendvicsek,"Közepes szendvicsek, jó kiszolgálás és sült krumpli. Az étterem sokszor mocskos."
202,M. Lozano,22 июн. 2020 г.,,5 звезд: Замечательно,I love all of the items in your…,I love all of the items in your menu!!!! Just please bring back mcspicy in the Philippines. 🥺
203,Kevin Cafres,22 июн. 2020 г.,,4 звезды: Отлично,Prices are good,"Prices are good, food is even better. Just the way everything is made is a little unethical and makes me slightly uneasy but that's it for complaints."
204,paolo melad,21 июн. 2020 г.,,5 звезд: Замечательно,Well whos doesn't love mcdonalds,Well whos doesn't love mcdonalds. Everytime i eat or order food here it gives me a nostalgic feeling.very fast and accomodating.
205,Anita Chauve,19 июн. 2020 г.,,5 звезд: Замечательно,Im just glad there are places like…,"Im just glad there are places like that! Any time you dont manage to get yourself food you always find a quick service here, its fast and convenient, tasty and has many updates on the menu depending on the season."
206,Margarette Nicole Santos,19 июн. 2020 г.,,4 звезды: Отлично,I like the fact that they innovate…,"I like the fact that they innovate their menu. They now offer some healthier options to choose from. And also, they have new menu items every now and then. I like the classic cheeseburger. Definitely one of my comfort to-go fast food choice."
207,jaymie sarah stewart,19 июн. 2020 г.,,4 звезды: Отлично,they got a fast and good services…,"they got a fast and good services ,things taste yummy"
208,Britt Maxon,17 июн. 2020 г.,,2 звезды: Ниже среднего,Stale Burgers,"over time their burgers have lost flavor / size, it's not what I remember from when I was younger (I used to be addicted to the stuff!)

I still come every so often to reminisce times past."
209,MICHAEL LEVY,17 июн. 2020 г.,,1 звезда: Плохо,Bad food,"My wife went to get two fish sandwich for me the bread was hard at the bottom the fish was dry, french fries burn, with nasty taste of burn oil. in Neptune in New Jersey. Wayst of money ."
210,Terry Evans,15 июн. 2020 г.,,3 звезды: Средне,over time their burgers have lost…,"over time their burgers have lost flavor / size, it's not what I remember from when I was younger (I used to be addicted to the stuff!)

I still come every so often to reminisce times past."
211,Jess louise Peachey,13 июн. 2020 г.,,4 звезды: Отлично,It’s a very nice place but I think that…,It’s a very nice place but I think that you should start doing Dr Pepper as sooo many people love it and you will get way more customers that means more money
212,MARINA SANDOVAL,13 июн. 2020 г.,,5 звезд: Замечательно,La comida esta muy buena y el servicio…,La comida esta muy buena y el servicio es excelente!
213,Kim Charly,12 июн. 2020 г.,,4 звезды: Отлично,Good food,"Good food, but not so healthy"
214,Nina,12 июн. 2020 г.,,4 звезды: Отлично,Love the food,"Love the food! Mt daughter loves to eat here, but make sure you don't take your kids hair very often as fast food is bad for children. But the overall very happy with the whole experience. Thank you."
215,Ahdalia,12 июн. 2020 г.,,5 звезд: Замечательно,Great double cheeseburger 😀,
216,Rocío Parra Domínguez,10 июн. 2020 г.,,5 звезд: Замечательно,ESTA LA COMIDA MUY VUENA,
217,Nadi Hirai,9 июн. 2020 г.,,5 звезд: Замечательно,Hot fudge sundae will always be my…,Hot fudge sundae will always be my favorite. I also like their fries and burger. Though there are times that their service is not that good. Sometimes it takes time for you them to serve your orders but I know they can still improve.
218,Jorge De la Vega,8 июн. 2020 г.,,1 звезда: Плохо,Calidad mala,"Calidad mala , y ahora después de coronavirus es peor, si no incorporan las ofertas de antes, creo q dejare yo y muchas de las personas q acudían antes."
219,Nuria Sebastián,8 июн. 2020 г.,,2 звезды: Ниже среднего,McDonald's Nuevo Centro,"McDonald's Nuevo Centro, Valencia
Hemos seleccionado ingredientes a la hamburguesa que luego no nos han añadido
Le hemos pedido a una trabajadora que nos desinfectara la mesa, muy amable su respuesta, en cambio las que no han servido las bandejas un trato antipático. No nos ha servido pajitas"
220,Abdel Rahman,8 июн. 2020 г.,,5 звезд: Замечательно,Best fast food ever,
221,Jenifer Schweigert,8 июн. 2020 г.,,1 звезда: Плохо,Além de muito caro é ruim,"Além de muito caro é ruim, um absurdo, um copo de refri 13,00!!! Pelo amor de Deus!!!
Os lanches eram pequenos a carne não tinha gosto de nada, a porção de batata é muito pequena... Alem de termos pego o Mc lanche feliz e não veio com o brinquedinho tivemos que voltar depois na loja para pegar...Primeira e última vez que vou!
Fui na loja de Lajeado/ RS"
222,Maria Graciela Perez,5 июн. 2020 г.,,2 звезды: Ниже среднего,Recién compre 4 hamburguesas Mc.Zeta en…,Recién compre 4 hamburguesas Mc.Zeta en el local de Xxx cruces. Un desastre. Jamás había recibido un mal servicio en presentación. Las hamburguesas tiradas dentro del envases regados dentro. El quedo fuera del pan y los pepinillos regados en la caja sin palabras. Sin contar que no entregaron ni servilletas ni condimentos. Un mal servicio d epresentacion
223,Lisa,5 июн. 2020 г.,,3 звезды: Средне,Pretty good fast food but not my fave,Pretty good fast food but not my fave. Think that theres probly too much fat in it
224,Svend Erik,4 июн. 2020 г.,,2 звезды: Ниже среднего,Jeg er træt af at betale fuld pris og…,"Jeg er træt af at betale fuld pris og så komme hjem og opdage jeg kun har fået det halve med i posen, Det sker for tit. Kunne i ikke indføre kvalitetskontrol på det i udlevere, eller ansætte personale der kan læse og regne?"
225,Jhony Fonse,31 мая 2020 г.,,2 звезды: Ниже среднего,im still waiting for sundaes hot fudge,
226,Raul SaM 00,31 мая 2020 г.,,1 звезда: Плохо,Me habéis quitado el helado de MyMs…,Me habéis quitado el helado de MyMs sois unos sin verguenzas
227,Claus Jensen,27 мая 2020 г.,DK,2 звезды: Ниже среднего,The food is not done right,"The food is not done right. They are to hurry. Not all mc are like that. In Thailand it is serious good and love to eat at mc, 5 stars to the thai peoble. But in Denmark it’s a bad and a sad experience"
228,Nicolas Gill,22 мая 2020 г.,,5 звезд: Замечательно,My mom and sister like ice cream from…,My mom and sister like ice cream from McDonald's. And I find burgers so tasty)
229,Rajith Singh,19 мая 2020 г.,,5 звезд: Замечательно,Tasty everywhere,It's tasty in any country you would go
230,Rosa,14 мая 2020 г.,,1 звезда: Плохо,¡Excelente,"¡Excelente! Os doy un 10. Sois los primeros que conseguís que escriba una reseña de un restaurante en todo lo que llevo de vida, mira que en los últimos tiempos comía fuera de casa prácticamente todos los días :). Por dónde empezar ... Es que hay tanto de lo que hablar. Comencemos por el hecho de que me habéis mandado un menú enano por el pago que he realizado. Por hacer, el mismo menú, con mejor sabor, te cuesta cerca de cuatro euros en Burger King... A eso añadamos las condiciones del pedido. Frío, comida totalmente fría. Añadamos el hecho de que podías jugar a los dardos con ese pan de lo duro que estaba. Hamburguesa seca. Y hablado de líquidos... No nos quedemos atrás con la bebida. Yo no sé si eso era Fanta, zumo de naranja o agua, pero si puedo asegurar una cosa, eso sabía a cualquier cosa excepto a Fanta de Naranja.
Os felicito la verdad, mira que no suelo ser exigente, pero de verdad, yo pienso que os habéis tenido que esforzar para lograr hacer algo tan malditamente mal, no encuentro otra explicación.
Con todo lo dicho, no volveré a usar vuestro servicio de ninguna clase de forma hasta que esta experiencia tan mala se me olvide, que es muy improbable que lo haga. Ahora me encuentro rezando a nuestro señor para que encima no me dé una indigestión, no me pasó hace años en varios de vuestros locales situados en Andalucía.
Venga, un saludo, y cuidarse."
231,bernardjohnson92,Обновлено 14 мая 2020 г.,,5 звезд: Замечательно,McDonald is my crush,McDonald is my crush! I love him. LET HIM MARRY ME!!!
232,Joel santiago Trespalacios,12 мая 2020 г.,,1 звезда: Плохо,Cuando estaba en macdonals me…,Cuando estaba en macdonals me atendieron en 30 minutos y me dijeron no eres importante cuando llegue de nuevo habían 7 puestos libres y dijeron no hay maspuestos luego me ofendieron me amenazaron escuchen mejoren macdonals mi hijo lo quisieron matar de corona virus pero se recuperó mejorar macdonals............
233,Majbritt Eriksson,8 мая 2020 г.,,1 звезда: Плохо,Netop fået mad leveret gennem Just eat,"Netop fået mad leveret gennem Just eat, da der var 15%, hold nu op en skuffelse, maden var halv kold, og de havde glemt alle de pomfrits sauce jeg havde bestilt, så ingen sauce til fritterne, vi ringer til Mc Donald og fortæller problemet og vil gerne have leveret sauce, samt nye burgere, da de ville være helt kolde efter ca. 3 minutter, vi kunne ikke få leveret en ny omgang mad, med blev lovet 1 ny menu, og tilgodebeviset kommer på mail indenfor 7 dage, men hvad hjælper det, når det var nu vi gerne ville have maden, vi skulle nyde, er spændt på om jeg modtager mailen??"
234,Ian Correa Ithan,8 мая 2020 г.,,5 звезд: Замечательно,la comida es muy rica y de buena…,la comida es muy rica y de buena calidad sin duda las burguesas son lo mejor
235,Eva Diaz,2 мая 2020 г.,,1 звезда: Плохо,"Cajera no se lava las manos después de estar cobrando y raspando billetes, sirve papas y refrescos :....","Hola yo fui a comprar comida a la sucursal 0133 Mac Donald’s Calz Independencia Norte # 3305 cajero14067 Gutierrez Ruiz En Guadalajara Jalisco
La cajera despachó a 3 personas recibió el dinero y verificaba si el dinero era bueno tallándolo con los dedos, después de eso se fue directo a la zona de comida y estuvo llenando las órdenes de papas y con los dedos detenía las papas para que no se le cayeran del paquete, los mismos dedos que uso para estar tayando los billetes, nunca se lavo las manos ni uso gel antibacterial, seguido de eso sirvió los refrescos agarrándo los vasos de la parte de arriba donde uno va a poner la boca, le pregunté que porque no se lavaba las manos cada ves que hiba a agarrar la comida después de haber cobrado y no supo que decir, se acercó la que parece supervisora y le hice la misma pregunta y solo agacho La cabeza sin saber que contestar, ya se lo que van a decir. Que si no me gusto no regrese ahí, pero la gente se cuida del virus, para que personas en los restaurantes de comida rápida no lo hagan como lo es Mac Donald’s Es ridículo, pongo mi queja para que otras personas no se enfermen, la persona que está haciendo la ensalada se toca la cara y la nariz y sigue cortando el jitomate, no guantes ...... eso vi en 10 minutos que estuve ahí, gracias por su atención"
236,Baldwin M Dawn,2 мая 2020 г.,,1 звезда: Плохо,First thing McDonald's in Guntersville…,First thing McDonald's in Guntersville Alabama does not have respect for nobody they hang up on you when you're trying to talk to them second they need their menu with doordash door Dashers menu shows that there is two fish sandwiches not one that's a double so I ordered that as it supposed to be on doordash two fish sandwiches no I didn't get it when I called McDonald's I got hung up twice the supervisor or manager was rude and hung up on me before I finished this is not how you show respect I don't lie my sister don't lie and we are not going to have people treated like this and steal money from us and treat us for throw respect I'm going to get a hold of the governor here in Alabama and I'm going to have them written up and then they're going to owe me so I'm just letting everybody know how I was treated today by McDonald's
237,John Thornburg,2 мая 2020 г.,,4 звезды: Отлично,Breakfast,"My favorite breakfast biscuit was the steak. Now Im told this week that it will no longer be available.
Disappointed to say the lest.

John Yadkinville NC"
238,Ariana,1 мая 2020 г.,,1 звезда: Плохо,This location is the worst and my…,"This location is the worst and my complaint is worth the time. I am disgusted at the poor customer service received for asking if they can remake 2 sundaes. They didn't make my McFlurry correct a couple days before but I let it slide and didn't call. ONE SUNDAE WAS HALF FULL, the other almost missing fudge. Both were not presentable items you should even hand to a customer. Anyone who works with food, knows this! Not to mention, we order these regularly and KNOW how they come. We just wanted what we paid for...SUNDAES! He argued with us and said thats how they come. The guy at the window offered no resolution and threw an attitude after I told him to please look and remake them, if not we'd like our money back. Its simple. I work in the foodservice industry and will not allow anybody to get over on me. This is me complaining about service, not 5 dollars. I have an issue with people who hate doing their job and love to get nasty. He disappeared and gave us back the sundaes with no apology and without displaying empathy. I wish I could really say what I want to, but Im over it. Their lack of lousy, unprofessional service will cost them many quality customers. If that was the manager, SHAMEFUL!"
239,Ava Hagler,30 апр. 2020 г.,,3 звезды: Средне,Honestly,"Honestly, it's ok. Their fries are too salty. I gotta say, I do love their salads, though."
240,Mario Sommer,29 апр. 2020 г.,,4 звезды: Отлично,I'm vegetarian,"I'm vegetarian, so unable to eat meat. Please, cook more tasty burgers for people like me."
241,Larrecia Shealey,27 апр. 2020 г.,,5 звезд: Замечательно,I love them they take care of their…,I love them they take care of their customers well
242,Zé Canario,Обновлено 26 апр. 2020 г.,,1 звезда: Плохо,Quantidade de Batata frita,"Andas a roubar nas batatas fritas
Não se admite a pouca quantidade de batatas fritas que sao servidas no menu médio, tres dentadas e acabaram as batatas
Algum tempo para cá ainda são menos as batatas manda-os atacar bem ao encher o pacote e também quando ha promoções, se o pessoal adere, vem pouca batata frita, nao entendo, se é promoção se não aguentam, nao a facam e não iludem ninguém,
fiscaliza McDonald's de Penafiel e de Paredes e manda-os servir a mesma quantidade de batatas, independentemente se ha promoção ou não e fora dela, o mesmo, encher bem o pacote
Para terminar na churrasqueira 1/2 de batata frita custa 1 € e é uma sacona de batatas fritas, que dá um alguidar de batatas fritas e 1 dose 1,30 € é a loucura,
Aprende com a churrasqueira e nao roubes na quantidade, serve pelo menos uma quantidade que de para encher o prato, não é misera da quantidade que serves, porque se despejadas no prato, cá em casa, amigos ou família, dizem: - estás a gozar comigo, eu nao tenho 3 anos de idade, trazes batata frita e é isto"
243,Adam West,22 апр. 2020 г.,,5 звезд: Замечательно,Why is everyone hating on McDonalds,Why is everyone hating on McDonalds? It's literally my favorite place in the World!
244,bowmanpeter565,21 апр. 2020 г.,US,5 звезд: Замечательно,I love em!,"Boy, do I love McDonalds and their burgers! I mean, they have burgers for any kind of occasional and the drive thru option makes it super convenient to stuff myself whenever I feel like it! Price is great too for the amount of food I'm getting!"
245,Daniel James,20 апр. 2020 г.,US,4 звезды: Отлично,5 stars for premium chicken bacon…,"5 stars for premium chicken bacon clubhouse and 4 for big mac - meal.
food was good and love the presentation."
246,Alex,12 апр. 2020 г.,US,3 звезды: Средне,"Not the best, not the worst",The quality of the meat is lacking. The price and the short waiting times partially compensate for that.
247,Tor Larsen,11 апр. 2020 г.,,2 звезды: Ниже среднего,Bestilte endelig 2 stor menu ved…,"Bestilte endelig 2 stor menu ved McDonalds ved Vejle N. Pomfritterne var kun halvfyldte. Tak for det, kong promfrit."
248,Codie Kelsey,11 апр. 2020 г.,,5 звезд: Замечательно,love mcdonalds so much can not imagine…,"love mcdonalds so much can not imagine how heart breaking this lockdown is i really want mcdonalds to open again soon miss it so much
my life ive been eating mcdonalds and its AMAZING
i love it more than words can explain
its amazig everyone get mcdonalds when it reopens again
who loves mcdonalds?"
249,Julia Zion,10 апр. 2020 г.,,5 звезд: Замечательно,Was my best place to eat .,Was my best place to eat .. really miss you and your food
250,Charity Jane,9 апр. 2020 г.,,5 звезд: Замечательно,ive been infesting on mcdonalds for so…,ive been infesting on mcdonalds for so longg and it still satisfiess me and yess mcdonald's is the best fastfood resto for me
251,Nouman,7 апр. 2020 г.,,5 звезд: Замечательно,I've eaten at McDonald's for a long…,"I've eaten at McDonald's for a long time, I've always been treated with respect, and professional staff, some of the food might not be the healthiest, but that's my choice, they have healthy food also, the food I order has always been good, well cooked, and warm, not cold, like some other fast food places I've went to, and the staff are friendly and courteous, I will continue to eat at McDonald's, only once in a while though, it's kinda like a treat for me, it's a great fast food chain"
252,Devesh Mallozziez,7 апр. 2020 г.,,5 звезд: Замечательно,The food is great!!,
253,Chris,3 апр. 2020 г.,,3 звезды: Средне,the food is full of chemicals but…,the food is full of chemicals but mcflurry is the best icecream
254,Booduh,3 апр. 2020 г.,,1 звезда: Плохо,they always mess up the simplest food…,"they always mess up the simplest food orders, and my food is always cold. it is not okay for them to do this."
255,Cheyenne,2 апр. 2020 г.,,5 звезд: Замечательно,woooooo,woooooooooooooooooooooooo
256,Kevin Cordova,31 мар. 2020 г.,,5 звезд: Замечательно,I love their Mc Egg and Cheese biscuit,I love their Mc Egg and Cheese biscuit. I also love the fact that McDonalds is cost effecient
257,Dick Cheng,24 мар. 2020 г.,,5 звезд: Замечательно,It is very good,It is very good. All the yummy things taste yum. It's probably not as good as the shard. But still one of my favourite restaurants.
258,Anonymous,20 мар. 2020 г.,,4 звезды: Отлично,I generally have a good experience when…,"I generally have a good experience when I visit the drive thru. The inside is usually filled with tweens and homeless people so I avoid that if possible. If you need to go, the bathrooms are the cleanest of any fast food joint. Wait times are usually under 5 mins and sometimes you get bonus food. Visit with an open mind and don't expect to always get exactly what you ordered or assume the people will read your mind. You will not be disappointed!"
259,Johnny Leif Jensen,18 мар. 2020 г.,DK,1 звезда: Плохо,Jeg var forbi i søndags d.16-3-2020,"Jeg var forbi i søndags d.16-3-2020 kl. ca. 1900 i Glostrup på hovedvejen, jeg blev i disse korona tider forbavset over at se at personalet som håndtere maden ikke brugte handsker, en ting er at vaske hænder, men det standser ikke smitte hvis man er smittet af virus, jeg vil gerne se at i , i fremtiden henstiller jeres personale at bruge handsker"
260,GA,15 мар. 2020 г.,,1 звезда: Плохо,DESCRIMINATION AND ABUSES IN MACDONALDS,"I have stopped going to the MacDonald's located in Falls Church Virginia Arlington Boulevard store and two separate occasions found a supervisor FOREIGN. Lite Blond, 5.7"" lite skin mistreating verbally a worker Black young lady but this time she placed the lady at attention in front of the register. I was placing a large order for family and suddenly that lady came over and pushed the young (black girl around 17) back. I Protested as customer because the supervisor/manager action took her problems against me and my family without the regard of people waiting to order at least 20 people altogether and she not only treated me and called the police on me and called the police on me because I opposed the treatment of the cashier and toward me. I was scolded by the police because she made me wait for my order until the police arrived I do not know what she told the officer who told me to get my food and get out meaning the discriminatory and abusive supervisor o manager was right not the customers. This was the second time she acted against my family and I in violation of our civil rights.
I requested her name , name of the general manager / area manager and she gave the wrong names as well her name or employee number, and to start an investigation on this. I am a disabled Veteran, as well a retired member of the Military USAF and never been subject to that unjust treatment and discriminatory BEHAVIOR OF THAT lady that for I can recollect from employees and I as customer 'SHE IS USED TO act and that to only minorities or foreigners ON DAILY BASIS"", DISCRIMINATING AGAINST LATINOS, BLACKS AND other NATIONALITIES AND MINORITIES.

MacDonald's should ashamed TO HIRE SUCH ""PIGS"" that come to the US and get a job thinking they own the US, stores, employees,
and CUSTOMER trying to play the system knowing they are practicing systematic discrimination under the UMBRELLA of MacDonald.
She may agree to the policies of the president ""WELL KNOWN A SUPREMACIST"" BUT SHE IS DOING IT AT WORK CAUSING LOW MORAL, ABUSING THE WILL OF MacDonald, THE CORROBORATIVE CORE AND FRANCHISE Owners, BECAUSE BAD REPUTATION SPREED LIKE A VIRUS, AND OPENING MACDONALDS FOR DISCRIMINATION, UNREPORTED AND DOCUMENTED CASES IN VIOLATIONS UNDER THE LAW.

GET RID OF PEOPLE THAT WORK IN THE STORES , TEaCH A LESSON AND START TRAINING PROGRAM FROM CIVILITY TO NO DISCRIMINATION IN THE WORK PLACE AND OR PERPETRATED other people, national origin, race, sex, handicaps, women and children all AGAINST AND VIOLATION OF OUR RIGHTS PROTECTED UNDER THE LAW OF THE USA.
TAKE ACTION NOW!"
261,Karen Thristlewhip,10 мар. 2020 г.,,2 звезды: Ниже среднего,NOT MCHAPPY!,"Karen here,
I usually like my Mccafe Iced latte like I like my men, thick and brown, but today it was white and skinny!

Not ideal!
Karen x
#notthickenough #skinnyandwhite #mcdonalds #maccafeiced"
262,Adam West,22 апр. 2020 г.,,5 звезд: Замечательно,Why is everyone hating on McDonalds,Why is everyone hating on McDonalds? It's literally my favorite place in the World!
263,bowmanpeter565,21 апр. 2020 г.,US,5 звезд: Замечательно,I love em!,"Boy, do I love McDonalds and their burgers! I mean, they have burgers for any kind of occasional and the drive thru option makes it super convenient to stuff myself whenever I feel like it! Price is great too for the amount of food I'm getting!"
264,Daniel James,20 апр. 2020 г.,US,4 звезды: Отлично,5 stars for premium chicken bacon…,"5 stars for premium chicken bacon clubhouse and 4 for big mac - meal.
food was good and love the presentation."
265,Alex,12 апр. 2020 г.,US,3 звезды: Средне,"Not the best, not the worst",The quality of the meat is lacking. The price and the short waiting times partially compensate for that.
266,Tor Larsen,11 апр. 2020 г.,,2 звезды: Ниже среднего,Bestilte endelig 2 stor menu ved…,"Bestilte endelig 2 stor menu ved McDonalds ved Vejle N. Pomfritterne var kun halvfyldte. Tak for det, kong promfrit."
267,Codie Kelsey,11 апр. 2020 г.,,5 звезд: Замечательно,love mcdonalds so much can not imagine…,"love mcdonalds so much can not imagine how heart breaking this lockdown is i really want mcdonalds to open again soon miss it so much
my life ive been eating mcdonalds and its AMAZING
i love it more than words can explain
its amazig everyone get mcdonalds when it reopens again
who loves mcdonalds?"
268,Julia Zion,10 апр. 2020 г.,,5 звезд: Замечательно,Was my best place to eat .,Was my best place to eat .. really miss you and your food
269,Charity Jane,9 апр. 2020 г.,,5 звезд: Замечательно,ive been infesting on mcdonalds for so…,ive been infesting on mcdonalds for so longg and it still satisfiess me and yess mcdonald's is the best fastfood resto for me
270,Nouman,7 апр. 2020 г.,,5 звезд: Замечательно,I've eaten at McDonald's for a long…,"I've eaten at McDonald's for a long time, I've always been treated with respect, and professional staff, some of the food might not be the healthiest, but that's my choice, they have healthy food also, the food I order has always been good, well cooked, and warm, not cold, like some other fast food places I've went to, and the staff are friendly and courteous, I will continue to eat at McDonald's, only once in a while though, it's kinda like a treat for me, it's a great fast food chain"
271,Devesh Mallozziez,7 апр. 2020 г.,,5 звезд: Замечательно,The food is great!!,
272,Chris,3 апр. 2020 г.,,3 звезды: Средне,the food is full of chemicals but…,the food is full of chemicals but mcflurry is the best icecream
273,Booduh,3 апр. 2020 г.,,1 звезда: Плохо,they always mess up the simplest food…,"they always mess up the simplest food orders, and my food is always cold. it is not okay for them to do this."
274,Cheyenne,2 апр. 2020 г.,,5 звезд: Замечательно,woooooo,woooooooooooooooooooooooo
275,Kevin Cordova,31 мар. 2020 г.,,5 звезд: Замечательно,I love their Mc Egg and Cheese biscuit,I love their Mc Egg and Cheese biscuit. I also love the fact that McDonalds is cost effecient
276,Dick Cheng,24 мар. 2020 г.,,5 звезд: Замечательно,It is very good,It is very good. All the yummy things taste yum. It's probably not as good as the shard. But still one of my favourite restaurants.
277,Anonymous,20 мар. 2020 г.,,4 звезды: Отлично,I generally have a good experience when…,"I generally have a good experience when I visit the drive thru. The inside is usually filled with tweens and homeless people so I avoid that if possible. If you need to go, the bathrooms are the cleanest of any fast food joint. Wait times are usually under 5 mins and sometimes you get bonus food. Visit with an open mind and don't expect to always get exactly what you ordered or assume the people will read your mind. You will not be disappointed!"
